tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36281,7723,8777249,146033,2017-08-01 16:23:56+00:00
892177421306343426,31289,5712,8777249,146033,2017-08-01 00:17:27+00:00
891815181378084864,23558,3786,8777249,146033,2017-07-31 00:18:03+00:00
891689557279858688,39569,7880,8777249,146033,2017-07-30 15:58:51+00:00
891327558926688256,37799,8498,8777249,146033,2017-07-29 16:00:24+00:00
891087950875897856,19040,2848,8777249,146033,2017-07-29 00:08:17+00:00
890971913173991426,11083,1854,8777249,146033,2017-07-28 16:27:12+00:00
890729181411237888,61132,17236,8777249,146033,2017-07-28 00:22:40+00:00
890609185150312448,26194,3921,8777249,146033,2017-07-27 16:25:51+00:00
890240255349198849,29932,6711,8777249,146033,2017-07-26 15:59:51+00:00
890006608113172480,28817,6699,8777249,146033,2017-07-26 00:31:25+00:00
889880896479866881,26212,4559,8777249,146033,2017-07-25 16:11:53+00:00
889665388333682689,45129,9150,8777249,146033,2017-07-25 01:55:32+00:00
889638837579907072,25401,4102,8777249,146033,2017-07-25 00:10:02+00:00
889531135344209921,14208,2061,8777249,146033,2017-07-24 17:02:04+00:00
889278841981685760,23672,4870,8777249,146033,2017-07-24 00:19:32+00:00
888917238123831296,27353,4113,8777249,146033,2017-07-23 00:22:39+00:00
888804989199671297,24039,3878,8777249,146033,2017-07-22 16:56:37+00:00
888554962724278272,18555,3183,8777934,146034,2017-07-22 00:23:06+00:00
888078434458587136,20463,3164,8777248,146033,2017-07-20 16:49:33+00:00
887705289381826560,28413,4916,8777248,146033,2017-07-19 16:06:48+00:00
887517139158093824,43585,10763,8777248,146033,2017-07-19 03:39:09+00:00
887473957103951883,64590,16450,8777248,146033,2017-07-19 00:47:34+00:00
887343217045368832,31626,9562,8777248,146033,2017-07-18 16:08:03+00:00
887101392804085760,28772,5450,8777248,146033,2017-07-18 00:07:08+00:00
886983233522544640,32824,7014,8777248,146033,2017-07-17 16:17:36+00:00
886736880519319552,11263,2937,8777248,146033,2017-07-16 23:58:41+00:00
886680336477933568,21116,4085,8777248,146033,2017-07-16 20:14:00+00:00
886366144734445568,19873,2895,8777248,146033,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8777248,146033,2017-07-15 16:51:35+00:00
886258384151887873,26314,5769,8777248,146033,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8777248,146033,2017-07-15 02:45:48+00:00
885984800019947520,30596,6141,8777249,146033,2017-07-14 22:10:11+00:00
885528943205470208,33778,5844,8777249,146033,2017-07-13 15:58:47+00:00
885518971528720385,19242,3409,8777249,146033,2017-07-13 15:19:09+00:00
885311592912609280,0,16934,8777249,146033,2017-07-13 01:35:06+00:00
885167619883638784,20574,3997,8777249,146033,2017-07-12 16:03:00+00:00
884925521741709313,72504,16547,8777249,146033,2017-07-12 00:01:00+00:00
884876753390489601,26186,5105,8777249,146033,2017-07-11 20:47:12+00:00
884562892145688576,22826,4299,8777249,146033,2017-07-11 00:00:02+00:00
884441805382717440,25460,5210,8777249,146033,2017-07-10 15:58:53+00:00
884247878851493888,68232,18585,8777249,146033,2017-07-10 03:08:17+00:00
884162670584377345,19178,2738,8777249,146033,2017-07-09 21:29:42+00:00
